px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
127.674	13.2999	2.46521	0.153023	-0.00320065	127.506	13.153	127.609	13.2365	2.44434	0.495787	0.509044
129.976	13.6973	2.40652	0.171307	0.00889072	129.947	13.6963	130.042	13.7853	2.50232	0.621879	0.140995
130.029	13.7026	2.44098	0.170289	0.00855931	130.334	13.781	130.042	13.7853	2.50232	0.621879	1.26207
132.157	14.4856	2.31696	0.369413	0.118782	132.092	14.507	132.53	14.458	2.55028	0.74543	1.23281
132.23	14.4788	2.43193	0.345441	0.0938987	132.447	14.3423	132.53	14.458	2.55028	0.74543	1.66851
134.935	15.0439	2.68991	0.192119	-0.0557581	135.074	15.0475	135.066	15.2513	2.58865	0.863795	3.88722
134.949	15.0426	2.68007	0.189936	-0.0566343	135.127	14.6575	135.066	15.2513	2.58865	0.863795	0.306655
137.533	16.1631	2.7707	0.437688	0.119377	137.561	16.2147	137.639	16.1592	2.61821	0.974442	1.73206
137.58	16.1548	2.84729	0.416054	0.095388	137.653	16.5145	137.639	16.1592	2.61821	0.974442	0.740257
140.299	17.028	2.87559	0.32415	-0.0173143	140.331	17.008	140.242	17.1733	2.63994	1.07503	0.711921
140.315	17.0295	2.89666	0.320014	-0.0213886	140.305	17.5379	140.242	17.1733	2.63994	1.07503	0.0817466
142.919	17.992	2.84069	0.349789	0.00948548	142.888	17.9918	142.868	18.2829	2.65497	1.16346	0.187392
142.887	17.9874	2.83671	0.348082	0.00495863	142.626	18.1458	142.868	18.2829	2.65497	1.16346	0.796236
145.409	19.1504	2.81832	0.448099	0.0623429	145.392	19.1617	145.51	19.4754	2.66445	1.23795	0.192889
145.49	19.1512	2.90903	0.426036	0.0404961	145.789	19.3785	145.51	19.4754	2.66445	1.23795	1.84714
148.202	20.4556	3.0201	0.465805	0.0376112	148.251	20.4754	148.163	20.7364	2.66951	1.29702	0.464317
148.195	20.458	3.00132	0.472694	0.0456457	148.146	20.9376	148.163	20.7364	2.66951	1.29702	0.0755185
150.692	22.0985	3.01689	0.620621	0.107513	150.686	22.1142	150.825	22.0502	2.67111	1.33953	0.203537
150.71	22.0858	3.07024	0.590422	0.0708233	150.649	21.8148	150.825	22.0502	2.67111	1.33953	0.803298
153.397	23.511	3.06401	0.490366	-0.0349432	153.422	23.4909	153.491	23.3999	2.66999	1.3647	0.626247
153.386	23.5101	3.04464	0.496505	-0.0278015	153.466	22.9115	153.491	23.3999	2.66999	1.3647	0.0658752
156.052	24.8174	3.02019	0.435327	-0.0480671	156.047	24.8084	156.159	24.7682	2.66666	1.37208	0.0374816
156.029	24.818	2.96179	0.45159	-0.0283052	156.009	25.0678	156.159	24.7682	2.66666	1.37208	0.485745
158.851	26.0172	3.07328	0.374612	-0.0592394	158.905	26.0308	158.827	26.1372	2.66127	1.36157	0.552383
158.88	26.0205	3.0942	0.370339	-0.0620281	159.014	26.1903	158.827	26.1372	2.66127	1.36157	0.336203
161.473	27.4156	2.99329	0.487603	0.0469736	161.412	27.4256	161.493	27.4891	2.65371	1.33344	1.10383
161.481	27.4218	2.97941	0.495297	0.0571416	161.529	27.8454	161.493	27.4891	2.65371	1.33344	0.279242
